Injury.Severity,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Weather.Condition
,Airplane,BOMBARDIER INC,CL-600-2B19,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,767,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,747-422,No,4.0,Turbo Fan,,VMC
Fatal,Airplane,AIRBUS,A330,No,,Turbo Fan,,
Non-Fatal,Airplane,BOEING,757,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,747,No,4.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOMBARDIER INC,CL-600-2B19,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,CESSNA,560XL,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,AIRBUS INDUSTRIE,A330-323,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,CESSNA,525,No,2.0,Turbo Fan,Business,
,Airplane,BOEING,747-481F,No,4.0,Turbo Fan,,
,Airplane,BOEING,757,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,EMBRAER,EMB-145LR,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,737,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,CESSNA,525A,No,2.0,Turbo Fan,Executive/corporate,VMC
Non-Fatal,Airplane,EMBRAER,EMB-145LR,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,GULFSTREAM,GIV,No,2.0,Turbo Fan,Executive/corporate,VMC
Non-Fatal,Airplane,Hawker Beechcraft,390,No,2.0,Turbo Fan,Business,VMC
Fatal,Airplane,AIRBUS,A321,No,2.0,Turbo Fan,,
,Airplane,BOEING,777,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,767-322,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,EMBRAER,EMB-145XR,No,2.0,Turbo Fan,,VMC
Fatal,Airplane,BOEING,737,No,2.0,Turbo Fan,,
Fatal,Airplane,EMBRAER,ERJ190,No,,Turbo Fan,,
Non-Fatal,Airplane,EMBRAER,EMB145 LU,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,AIRBUS,A320-232,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,737-7H4,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,EMBRAER,500,No,2.0,Turbo Fan,Personal,VMC
Non-Fatal,Airplane,AIRBUS INDUSTRIE,A320-214,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,MCDONNELL DOUGLAS,MD-11F,No,3.0,Turbo Fan,,
Non-Fatal,Airplane,GULFSTREAM AEROSPACE,G-IV,No,2.0,Turbo Fan,Executive/corporate,IMC
Non-Fatal,Airplane,BOMBARDIER INC,CL-600-2B19,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOMBARDIER INC,CL-600-2B19,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,757-223,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,737,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,GULFSTREAM AEROSPACE,G-IV,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,BOMBARDIER INC,CL-600-2B19,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOMBARDIER INC,CL-600-2B19,No,2.0,Turbo Fan,,VMC
,Airplane,BOEING,767,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,EMBRAER,ERJ 170-200 LR,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,CESSNA,501,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,ISRAEL AIRCRAFT INDUSTRIES,GULFSTREAM 200,No,2.0,Turbo Fan,Positioning,IMC
Non-Fatal,Airplane,EMBRAER,EMB-145LR,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOMBARDIER INC,CL-600-2C10,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,EMBRAER,EMB-135LR,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,CESSNA,560XL,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,737-823,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,767,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOMBARDIER INC,CL-600-2C10,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,777,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,CESSNA,560XL,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,737-7H4,No,2.0,Turbo Fan,,VMC
Fatal,Airplane,RAYTHEON,390,No,,Turbo Fan,Unknown,IMC
Non-Fatal,Airplane,BOEING,737,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,757-223,No,2.0,Turbo Fan,,IMC
,Airplane,AIRBUS,A320,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,737-823,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,GATES LEARJET CORP.,35A,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,EMBRAER,EMB-145LR,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,757-2Q8,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Gulfstream Aerospace Corp.,GV-SP,No,2.0,Turbo Fan,Flight Test,VMC
Non-Fatal,Airplane,AIRBUS,A320-232,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,737-823,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,EMBRAER,ERJ 190-100 IGW,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,757-232,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,CESSNA,560XL,No,2.0,Turbo Fan,Personal,VMC
Non-Fatal,Airplane,BOEING,757-232,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOMBARDIER INC,BD-100-1A10,No,2.0,Turbo Fan,Business,
Non-Fatal,Airplane,ECLIPSE AVIATION CORP,EA500,No,2.0,Turbo Fan,Personal,
Non-Fatal,Airplane,EMBRAER,EMB-145XR,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,AIRBUS,F4-622R,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Dassault-Breguet,Falcon 10,No,2.0,Turbo Fan,Business,VMC
Non-Fatal,Airplane,EMBRAER,EMB-145LR,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,737-7H4,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOMBARDIER INC,CL-600-2B19,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,737,No,2.0,Turbo Fan,,VMC
Fatal,Airplane,GULFSTREAM,GVI,No,2.0,Turbo Fan,Flight Test,VMC
Non-Fatal,Airplane,BOMBARDIER,CL600 2B19,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Airbus,A320,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,CESSNA,560XL,No,2.0,Turbo Fan,Positioning,VMC
Non-Fatal,Airplane,BOEING,777-223,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,AIRBUS,A380,No,4.0,Turbo Fan,,VMC
,Airplane,BOEING,767 323,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,757-2B7,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,BOMBARDIER,BD700 1A10,No,2.0,Turbo Fan,Positioning,VMC
Non-Fatal,Airplane,AIRBUS,A330-323,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,737-7Q8,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,BOEING,747,No,4.0,Turbo Fan,,
Non-Fatal,Airplane,AIRBUS,A319,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,737-732,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOMBARDIER INC,CL-600-2B19,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,707-321B,No,4.0,Turbo Fan,Public Aircraft,VMC
Non-Fatal,Airplane,BOEING,757,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,EMBRAER-EMPRESA BRASILEIRA DE,EMB-500,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,ISRAEL AIRCRAFT INDUSTRIES,GULFSTREAM 200,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,757-222,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,ECLIPSE AVIATION CORP,EA500,No,2.0,Turbo Fan,Personal,VMC
Non-Fatal,Airplane,BOMBARDIER INC,CL600-2D24,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOMBARDIER INC,CL-600-2B19,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,CESSNA,525A,No,2.0,Turbo Fan,Business,IMC
Non-Fatal,Airplane,Cessna,680,No,,Turbo Fan,Business,VMC
Non-Fatal,Airplane,BOEING,757-232,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,MCDONNELL DOUGLAS,MD88,No,2.0,Turbo Fan,,VMC
,Airplane,MCDONNELL DOUGLAS,DC-9-83(MD-83),No,2.0,Turbo Fan,,
Non-Fatal,Airplane,AERO VODOCHODY,L39C,No,1.0,Turbo Fan,Personal,VMC
Non-Fatal,Airplane,GATES LEAR JET,35,No,2.0,Turbo Fan,Flight Test,VMC
Non-Fatal,Airplane,BOMBARDIER,CL600 2D24,No,2.0,Turbo Fan,,VMC
,Airplane,BOEING,747-230F,No,4.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,747-422,No,4.0,Turbo Fan,,VMC
Non-Fatal,Airplane,EMBRAER,EMB145,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOMBARDIER INC,CL-600-2B19,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,EMBRAER,EMB-145LR,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,737 7H4,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Airbus Industrie,A320-211,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,EMBRAER,E190,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,GATES LEAR JET,35,No,2.0,Turbo Fan,Personal,VMC
Non-Fatal,Airplane,BOEING,757-222,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,737-823,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88,No,2.0,Turbo Fan,,VMC
,Airplane,BOEING,737,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,LEARJET INC,60,No,2.0,Turbo Fan,Executive/corporate,VMC
Non-Fatal,Airplane,BOMBARDIER,CL600 2C10,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,GULFSTREAM,G150,No,2.0,Turbo Fan,Personal,VMC
Non-Fatal,Airplane,CESSNA,550,No,2.0,Turbo Fan,Business,VMC
Non-Fatal,Airplane,EMBRAER,EMB-145LR,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,CESSNA,550,No,2.0,Turbo Fan,Ferry,VMC
Non-Fatal,Airplane,GULFSTREAM AMERICAN CORP.,G 1159,No,2.0,Turbo Fan,Personal,
Non-Fatal,Airplane,BOEING,737-7H4,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,CESSNA,560XL,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,737-7H4,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,737-732,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,Boeing,737,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,737-7H4,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,CESSNA,650,No,2.0,Turbo Fan,Personal,VMC
Non-Fatal,Airplane,EMBRAER,EMB-145LR,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,ECLIPSE AVIATION CORP,EA500,No,2.0,Turbo Fan,Unknown,
Non-Fatal,Airplane,GULFSTREAM,G150,No,2.0,Turbo Fan,Positioning,VMC
Non-Fatal,Airplane,ANTONOV,AN124,No,4.0,Turbo Fan,,VMC
Non-Fatal,Airplane,EMBRAER,EMB-500,No,2.0,Turbo Fan,Executive/corporate,VMC
Non-Fatal,Airplane,GATES LEAR JET,35,No,2.0,Turbo Fan,Personal,IMC
Non-Fatal,Airplane,BOMBARDIER,CL600 2B19,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,767,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,LEARJET INC,31A,No,2.0,Turbo Fan,,VMC
Fatal,Airplane,GULFSTREAM AEROSPACE,G-IV,No,2.0,Turbo Fan,Personal,
Non-Fatal,Airplane,BOEING,737-832,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,737-7H4,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,AIRBUS,A321,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,BOMBARDIER INC,CL-600-2B19,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOMBARDIER LEARJET CORP.,35A,No,2.0,Turbo Fan,,VMC
Fatal,Airplane,CESSNA,501,No,2.0,Turbo Fan,Personal,VMC
Non-Fatal,Airplane,BOEING,737-7H4,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,CESSNA,560XL,No,2.0,Turbo Fan,Executive/corporate,VMC
Fatal,Airplane,SUKHOI,SJ100,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,AIRBUS,A319-112,No,2.0,Turbo Fan,,VMC
Fatal,Airplane,AERO VODOCHODY,L-39,No,1.0,Turbo Fan,Business,VMC
Non-Fatal,Airplane,CANADAIR LTD,CL-600-2B16,No,,Turbo Fan,Positioning,VMC
Non-Fatal,Airplane,AIRBUS,A321,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,747,No,4.0,Turbo Fan,,VMC
Non-Fatal,Airplane,LEARJET INC,60,No,2.0,Turbo Fan,Personal,VMC
Non-Fatal,Airplane,BOEING,757 2B7,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,AIRBUS INDUSTRIE,A320-212,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,BOEING,737-724,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,CESSNA,560,No,2.0,Turbo Fan,Executive/corporate,VMC
Non-Fatal,Airplane,AIRBUS,A320,No,2.0,Turbo Fan,,VMC
,Airplane,BOEING,747,No,,Turbo Fan,,
,Airplane,AIRBUS,A320,No,2.0,Turbo Fan,,
,Airplane,BOEING,767-323,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,777-222,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOMBARDIER INC,CL-600-2C10,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,737-3H4,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,787,No,,Turbo Fan,Flight Test,VMC
Non-Fatal,Airplane,BOEING,737-924ER,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,AIRBUS,A319,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,EMBRAER S.A.,ERJ 170-200 LR,No,2.0,Turbo Fan,,IMC
Non-Fatal,Airplane,EMBRAER,,No,2.0,Turbo Fan,Business,VMC
,Airplane,BOEING,757,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,AIRBUS,A330,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,CESSNA,560XL,No,2.0,Turbo Fan,Executive/corporate,VMC
Non-Fatal,Airplane,BOEING,767-332,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BEECH,400,No,2.0,Turbo Fan,Executive/corporate,VMC
Non-Fatal,Airplane,AIRBUS INDUSTRIE,A330-323,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,LEARJET,36A,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,CANADAIR LTD,CL-600 Challenger,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,LEARJET INC,60,No,2.0,Turbo Fan,Positioning,IMC
Non-Fatal,Airplane,BOEING,717-200,No,2.0,Turbo Fan,,VMC
,Airplane,BOEING,737 - 73V,No,,Turbo Fan,,
,Airplane,AIRBUS,A330,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,737-3H4,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,CESSNA,560XL,No,2.0,Turbo Fan,,VMC
,Airplane,AIRBUS,A380-861,No,,Turbo Fan,,
Non-Fatal,Airplane,CESSNA,550,No,2.0,Turbo Fan,Flight Test,VMC
,Airplane,AIRBUS,A310 - 308,No,2.0,Turbo Fan,,
,Airplane,BOEING COMPANY,BOEING 777-236,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOMBARDIER INC,CL-600-2B19,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,CESSNA,501,No,2.0,Turbo Fan,Personal,IMC
Non-Fatal,Airplane,CESSNA,550,No,2.0,Turbo Fan,Public Aircraft - Federal,VMC
Non-Fatal,Airplane,MCDONNELL DOUGLAS,MD-11F,No,3.0,Turbo Fan,,IMC
Non-Fatal,Airplane,EMBRAER,EMB-145LR,No,2.0,Turbo Fan,,VMC
,Airplane,BOEING,777-222,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,CESSNA,560XL,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,AIRBUS,A340 - 300,No,4.0,Turbo Fan,,VMC
Non-Fatal,Airplane,MCDONNELL DOUGLAS,MD11,No,,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,747-422,No,4.0,Turbo Fan,,VMC
Non-Fatal,Airplane,EMBRAER,EMB-145LR,No,2.0,Turbo Fan,,VMC
Fatal,Airplane,BEECH,390,No,2.0,Turbo Fan,Executive/corporate,VMC
Non-Fatal,Airplane,EMBRAER,ERJ 190-100 IGW,No,2.0,Turbo Fan,Positioning,VMC
Fatal,Airplane,Hawker Beechcraft,390,No,1.0,Turbo Fan,Unknown,VMC
Non-Fatal,Airplane,BOEING,757-232,No,2.0,Turbo Fan,,VMC
Fatal,Airplane,HAWKER BEECHCRAFT CORPORATION,390,No,2.0,Turbo Fan,Business,VMC
Non-Fatal,Airplane,EMBRAER,EMB-500,No,2.0,Turbo Fan,Positioning,VMC
Non-Fatal,Airplane,AIRBUS,321,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,747-400,No,4.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,777,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,AIRBUS,A330,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BAE,Jetstream,No,2.0,Turbo Fan,,
Fatal,Airplane,LEARJET INC,60,No,2.0,Turbo Fan,Unknown,
Non-Fatal,Airplane,BOMBARDIER,CL-600,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,AIRBUS,320,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,737-7H4,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,GATES LEARJET CORP.,35A,No,2.0,Turbo Fan,Positioning,VMC
Non-Fatal,Airplane,BOEING,747,No,4.0,Turbo Fan,,VMC
Non-Fatal,Airplane,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,ISRAEL AIRCRAFT INDUSTRIES,1124,No,2.0,Turbo Fan,Instructional,VMC
Non-Fatal,Airplane,IAI,GULFSTREAM200,No,2.0,Turbo Fan,Instructional,VMC
Non-Fatal,Airplane,ROCKWELL,NA-265-65,No,2.0,Turbo Fan,Personal,VMC
Fatal,Airplane,BOEING,777-200ER,No,2.0,Turbo Fan,,VMC
,Airplane,BOEING,777 - 340ER,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,737 7H4,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,CESSNA AIRCRAFT COMPANY,CESSNA 525B,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,747,No,,Turbo Fan,,
Non-Fatal,Airplane,EMBRAER S A,EMB-505,No,2.0,Turbo Fan,Positioning,VMC
,Airplane,AIRBUS INDUSTRIE,A300B4-622R,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOMBARDIER,CL600 2B19,No,2.0,Turbo Fan,,
,Airplane,BOEING,787 - 8QQ,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,737 - 53C,No,2.0,Turbo Fan,,
Fatal,Airplane,CESSNA,525A,No,2.0,Turbo Fan,Personal,VMC
,Airplane,AIRBUS,A330 - 302,No,,Turbo Fan,,
Non-Fatal,Airplane,CESSNA,525A,No,2.0,Turbo Fan,Positioning,VMC
Non-Fatal,Airplane,EMBRAER-EMPRESA BRASILEIRA DE,EMB-500,No,2.0,Turbo Fan,Positioning,VMC
Fatal,Airplane,CESSNA,500,No,2.0,Turbo Fan,Business,VMC
Non-Fatal,Airplane,BOEING,767 322,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,757 223,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BAE SYSTEMS (OPERATIONS) LIMIT,AVRO 146-RJ85,No,4.0,Turbo Fan,,
Non-Fatal,Airplane,BOMBARDIER INC,CL 600 2B16,No,2.0,Turbo Fan,Unknown,
Fatal,Airplane,LEARJET,35,No,2.0,Turbo Fan,Positioning,VMC
Non-Fatal,Airplane,CESSNA,560,No,2.0,Turbo Fan,,VMC
Fatal,Airplane,RAYTHEON AIRCRAFT COMPANY,390,No,2.0,Turbo Fan,Personal,VMC
Non-Fatal,Airplane,BOEING,737,No,2.0,Turbo Fan,,VMC
Fatal,Airplane,CANADAIR LTD,CL 600 2B16,No,2.0,Turbo Fan,Executive/corporate,VMC
Non-Fatal,Airplane,BOEING,737 7H4,No,2.0,Turbo Fan,,VMC
,Airplane,CESSNA,680,No,2.0,Turbo Fan,Flight Test,VMC
Non-Fatal,Airplane,BOEING,737 7H4,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,ISRAEL AIRCRAFT INDUSTRIES,GULFSTREAM 200,No,2.0,Turbo Fan,Flight Test,VMC
Non-Fatal,Airplane,BOEING,767 332,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,MCDONNELL DOUGLAS AIRCRAFT CO,MD 88,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,GATES LEARJET CORP.,35A,No,1.0,Turbo Fan,,VMC
Non-Fatal,Airplane,CESSNA,525,No,2.0,Turbo Fan,Business,IMC
Non-Fatal,Airplane,BOEING,737 - 932ER,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,MCDONNELL DOUGLAS,MD11 - F,No,3.0,Turbo Fan,,
Non-Fatal,Airplane,RAYTHEON AIRCRAFT COMPANY,400A,No,2.0,Turbo Fan,Executive/corporate,VMC
Non-Fatal,Airplane,AIRBUS,A320 - 214,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,CESSNA,500,No,2.0,Turbo Fan,Personal,VMC
Non-Fatal,Airplane,AIRBUS,A330 323,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,CESSNA,560XL,No,2.0,Turbo Fan,,VMC
Fatal,Airplane,BRITISH AEROSPACE,HS 125 700A,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,CESSNA,525,No,2.0,Turbo Fan,Personal,VMC
,Airplane,BAE,AVRO146RJ - 100,No,4.0,Turbo Fan,,
,Airplane,AIRBUS,A330 - 223,No,,Turbo Fan,,
Non-Fatal,Airplane,CESSNA,525C,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,MCDONNELL DOUGLAS,MD90 - 30,No,2.0,Turbo Fan,,VMC
Fatal,Airplane,GULFSTREAM AEROSPACE,G IV,No,2.0,Turbo Fan,Executive/corporate,VMC
,Airplane,BOEING,737 - 6H3,No,2.0,Turbo Fan,,
Fatal,Airplane,ISRAEL AIRCRAFT INDUSTRIES,1124A,No,2.0,Turbo Fan,Other Work Use,VMC
Non-Fatal,Airplane,BOEING,767 36N,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,757,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOMBARDIER,CL600 2D24 - 900,No,2.0,Turbo Fan,,VMC
Fatal,Airplane,CESSNA,560XL,No,2.0,Turbo Fan,Other Work Use,IMC
Non-Fatal,Airplane,BOEING,737 7H4,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,767 322,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,AIRBUS,A320 - 231,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,EMBRAER S A,ERJ170-200LR,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170 200 LR,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,AIRBUS,A330 - 301,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,BOEING,757 223,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,AIRBUS,A320 232,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,EMBRAER,EMB 505,No,2.0,Turbo Fan,Positioning,IMC
Non-Fatal,Airplane,BOEING,747,No,4.0,Turbo Fan,,VMC
Non-Fatal,Airplane,BOEING,777 223,No,2.0,Turbo Fan,,
Non-Fatal,Airplane,CESSNA,S550,No,,Turbo Fan,Positioning,VMC
Non-Fatal,Airplane,EMBRAER,EMB 145LR,No,2.0,Turbo Fan,,VMC
Non-Fatal,Airplane,RAYTHEON AIRCRAFT COMPANY,HAWKER,No,2.0,Turbo Fan,Business,VMC
Non-Fatal,Airplane,BOEING,737 330,No,2.0,Turbo Fan,,VMC
,Airplane,AIRBUS,A319 - 132,No,,Turbo Fan,,
Non-Fatal,Airplane,BAE SYSTEMS,HAWK MK 67,No,,Turbo Fan,Public Aircraft - Federal,VMC
,Airplane,BOEING,747 422,No,4.0,Turbo Fan,,
Non-Fatal,Airplane,SIAI MARCHETTI,S211,No,1.0,Turbo Fan,Instructional,VMC
Non-Fatal,Airplane,CESSNA,510,No,2.0,Turbo Fan,Personal,VMC
Non-Fatal,Airplane,BOEING,767 322,No,2.0,Turbo Fan,,
